id,age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,predictions
294,45,Private,13,Married-civ-spouse,Sales,Husband,White,Male,0,2002,55,United-States,<=50K,>50K
16231,39,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,>50K
11919,66,Private,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,Canada,<=50K,>50K
18705,53,Federal-gov,13,Divorced,Exec-managerial,Unmarried,Black,Female,0,0,50,United-States,>50K,<=50K
31991,32,Private,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,38,United-States,>50K,<=50K
18139,48,Private,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,<=50K,>50K
21386,66,Self-emp-inc,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
31470,39,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,<=50K
22317,27,Private,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Hong,>50K,<=50K
18768,42,Self-emp-not-inc,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,56,United-States,>50K,<=50K
12814,37,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,44,United-States,>50K,<=50K
10065,58,Self-emp-inc,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,20,United-States,>50K,<=50K
31427,74,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,United-States,>50K,<=50K
11213,60,Self-emp-not-inc,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,>50K,<=50K
18588,38,State-gov,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,37,United-States,<=50K,>50K
28986,39,Private,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States,>50K,<=50K
29037,40,Self-emp-inc,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,<=50K
8938,39,Private,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K,<=50K
10564,37,Self-emp-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,<=50K,>50K
31430,49,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,42,United-States,>50K,<=50K
24941,40,Private,14,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K,<=50K
21509,60,Private,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,65,United-States,>50K,<=50K
15870,63,,13,Married-civ-spouse,,Husband,White,Male,0,0,8,United-States,>50K,<=50K
16671,44,Private,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,>50K
5673,43,Private,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,50,United-States,<=50K,>50K
28386,44,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,<=50K
15060,23,Private,9,Never-married,Tech-support,Own-child,White,Male,0,0,50,United-States,<=50K,>50K
13397,26,Private,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,>50K,<=50K
8490,48,State-gov,14,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,>50K,<=50K
22138,68,,16,Married-civ-spouse,,Husband,White,Male,0,0,70,United-States,<=50K,>50K
21322,51,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,<=50K
26118,48,Private,13,Divorced,Sales,Not-in-family,Black,Male,0,0,40,United-States,>50K,<=50K
3671,51,Private,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3103,0,40,United-States,>50K,<=50K
3203,35,Private,9,Never-married,Sales,Not-in-family,White,Male,4787,0,40,United-States,>50K,<=50K
6422,34,Private,10,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,40,United-States,>50K,<=50K
5078,28,Private,13,Never-married,Tech-support,Not-in-family,White,Female,0,0,35,United-States,<=50K,>50K
31300,50,Private,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,39,United-States,<=50K,>50K
13240,33,Self-emp-not-inc,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,>50K,<=50K
9014,44,Private,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,>50K,<=50K
25182,51,Private,10,Divorced,Sales,Not-in-family,White,Female,0,0,45,United-States,>50K,<=50K
31608,40,Self-emp-not-inc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
15274,50,Federal-gov,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
334,28,Private,13,Never-married,Tech-support,Not-in-family,White,Female,0,1980,35,United-States,<=50K,>50K
