age,workclass,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,predictions
42,Self-emp-not-inc,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K,>50K
27,Private,12,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,>50K,<=50K
48,Self-emp-not-inc,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,>50K
28,Private,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,Taiwan,<=50K,>50K
33,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,84,United-States,>50K,<=50K
42,Local-gov,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
40,Local-gov,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,>50K,<=50K
31,Local-gov,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K,<=50K
61,Private,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,<=50K
47,Private,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
53,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,55,United-States,<=50K,>50K
39,Private,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,>50K,<=50K
47,Local-gov,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,>50K,<=50K
39,Self-emp-not-inc,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,<=50K
35,Private,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,United-States,>50K,<=50K
37,Private,14,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,>50K,<=50K
45,Self-emp-inc,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,51,United-States,<=50K,>50K
44,Private,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,65,United-States,>50K,<=50K
38,Private,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,40,United-States,<=50K,>50K
44,Private,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,<=50K
41,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,51,United-States,<=50K,>50K
39,Private,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,60,United-States,>50K,<=50K
44,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,<=50K
31,Federal-gov,9,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,<=50K,>50K
26,Self-emp-not-inc,9,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,0,0,50,United-States,>50K,<=50K
50,Local-gov,13,Divorced,Protective-serv,Not-in-family,White,Male,0,0,40,United-States,>50K,<=50K
40,Private,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,<=50K
52,Private,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K,<=50K
62,Self-emp-inc,14,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,40,South,<=50K,>50K
